Timestamp,Tension,Corriente,totalizado,
2025-06-25T23:54:28.217824,505,-3381,-5152121,9090
2025-06-25T23:54:29.665839,503,-3394,-5155515,9054
2025-06-25T23:54:31.112077,499,-3436,-5158951,8982
2025-06-25T23:54:32.559490,503,-3322,-5162273,9054
2025-06-25T23:54:34.010242,500,-3265,-5165538,9000
2025-06-25T23:54:35.457752,503,-3278,-5168816,9054
2025-06-25T23:54:36.908428,507,-3269,-5172085,9126
2025-06-25T23:54:38.356068,498,-3265,-5175350,8964
2025-06-25T23:54:39.806632,496,-3258,-5178608,8928
2025-06-25T23:54:41.254196,499,-3273,-5181881,8982
2025-06-25T23:54:42.700836,503,-3698,-5185579,9054
2025-06-25T23:54:44.148503,513,-9819,-5195398,9234
2025-06-25T23:54:45.599159,511,-9549,-5204947,9198
2025-06-25T23:54:47.046520,510,-8134,-5213081,9180
2025-06-25T23:54:48.497171,510,-6920,-5220001,9180
2025-06-25T23:54:49.944851,507,-6311,-5226312,9126
2025-06-25T23:54:51.395418,500,-5560,-5231872,9000
2025-06-25T23:54:52.843131,509,-5571,-5237443,9162
2025-06-25T23:54:54.289710,510,-5805,-5243248,9180
2025-06-25T23:54:55.737138,505,-5386,-5248634,9090
2025-06-25T23:54:57.187899,506,-5115,-5253749,9108
2025-06-25T23:54:58.635392,505,-4771,-5258520,9090
2025-06-25T23:55:00.085972,507,-4735,-5263255,9126
2025-06-25T23:55:01.533595,504,-4495,-5267750,9072
2025-06-25T23:55:02.984097,504,-4566,-5272316,9072
2025-06-25T23:55:04.431773,504,-4542,-5276858,9072
2025-06-25T23:55:05.878500,505,-4272,-5281130,9090
2025-06-25T23:55:07.326113,500,-4071,-5285201,9000
2025-06-25T23:55:08.776763,510,-3645,-5288846,9180
2025-06-25T23:55:10.224354,502,-4042,-5292888,9036
2025-06-25T23:55:11.674983,499,-3844,-5296732,8982
2025-06-25T23:55:13.122447,504,-3619,-5300351,9072
2025-06-25T23:55:14.573070,515,-9965,-5310316,9270
2025-06-25T23:55:16.021813,507,-10003,-5320319,9126
2025-06-25T23:55:17.471334,511,-9970,-5330289,9198
2025-06-25T23:55:18.919760,513,-10020,-5340309,9234
2025-06-25T23:55:20.369449,515,-9906,-5350215,9270
2025-06-25T23:55:21.817108,512,-9955,-5360170,9216
2025-06-25T23:55:23.263816,510,-9925,-5370095,9180
2025-06-25T23:55:24.711280,515,-9876,-5379971,9270
2025-06-25T23:55:26.162151,510,-9777,-5389748,9180
2025-06-25T23:55:27.609701,511,-9807,-5399555,9198
2025-06-25T23:55:29.056192,514,-9717,-5409272,9252
2025-06-25T23:55:30.503754,508,-9516,-5418788,9144
2025-06-25T23:55:31.954365,514,-8956,-5427744,9252
2025-06-25T23:55:33.401935,508,-7462,-5435206,9144
2025-06-25T23:55:34.852539,506,-5616,-5440822,9108
2025-06-25T23:55:36.300191,504,-4279,-5445101,9072
2025-06-25T23:55:37.750781,499,-3547,-5448648,8982
2025-06-25T23:55:39.198380,501,-3258,-5451906,9018
2025-06-25T23:55:40.644908,502,-3186,-5455092,9036
2025-06-25T23:55:42.092529,505,-3165,-5458257,9090
2025-06-25T23:55:43.543166,505,-3144,-5461401,9090
2025-06-25T23:55:44.990779,498,-3151,-5464552,8964
2025-06-25T23:55:46.441377,513,-9957,-5474509,9234
2025-06-25T23:55:47.888912,512,-9957,-5484466,9216
2025-06-25T23:55:49.339782,513,-9882,-5494348,9234
2025-06-25T23:55:50.787153,516,-9933,-5504281,9288
2025-06-25T23:55:52.233829,514,-9875,-5514156,9252
2025-06-25T23:55:53.681416,511,-9815,-5523971,9198
2025-06-25T23:55:55.132044,511,-9791,-5533762,9198
2025-06-25T23:55:56.579576,516,-9618,-5543380,9288
2025-06-25T23:55:58.030135,511,-9433,-5552813,9198
2025-06-25T23:55:59.477824,516,-9005,-5561818,9288
2025-06-25T23:56:00.928466,511,-7972,-5569790,9198
2025-06-25T23:56:02.375900,507,-6339,-5576129,9126
2025-06-25T23:56:03.822768,515,-9982,-5586111,9270
2025-06-25T23:56:05.270313,512,-9927,-5596038,9216
2025-06-25T23:56:06.720879,518,-9866,-5605904,9324
2025-06-25T23:56:08.168376,511,-9797,-5615701,9198
2025-06-25T23:56:09.619104,512,-9654,-5625355,9216
2025-06-25T23:56:11.066693,514,-9265,-5634620,9252
2025-06-25T23:56:12.517258,511,-7502,-5642122,9198
2025-06-25T23:56:13.964869,507,-5714,-5647836,9126
2025-06-25T23:56:15.411431,511,-5055,-5652891,9198
2025-06-25T23:56:16.859018,506,-5026,-5657917,9108
