Timestamp,Tension,Corriente,totalizado,
2025-06-22T16:15:18.064569,419,0,555107,7542
2025-06-22T16:15:19.487439,419,0,555107,7542
2025-06-22T16:15:20.910405,420,0,555107,7560
2025-06-22T16:15:22.333289,420,0,555107,7560
2025-06-22T16:15:23.756263,416,0,555107,7488
2025-06-22T16:15:25.179109,419,0,555107,7542
2025-06-22T16:15:26.602083,419,0,555107,7542
2025-06-22T16:15:28.025055,423,0,555107,7614
2025-06-22T16:15:29.447900,421,0,555107,7578
2025-06-22T16:15:30.870826,420,0,555107,7560
2025-06-22T16:15:32.293656,420,0,555107,7560
2025-06-22T16:15:33.716618,420,0,555107,7560
2025-06-22T16:15:35.139566,419,0,555107,7542
2025-06-22T16:15:36.562428,423,0,555107,7614
2025-06-22T16:15:37.985315,418,0,555107,7524
2025-06-22T16:15:39.408420,420,0,555107,7560
2025-06-22T16:15:40.831229,420,0,555107,7560
2025-06-22T16:15:42.254161,421,0,555107,7578
2025-06-22T16:15:43.677170,419,0,555107,7542
2025-06-22T16:15:45.100033,420,0,555107,7560
2025-06-22T16:15:46.522990,417,0,555107,7506
2025-06-22T16:15:47.945867,421,0,555107,7578
2025-06-22T16:15:49.368871,420,0,555107,7560
2025-06-22T16:15:50.791684,420,0,555107,7560
2025-06-22T16:15:52.214710,420,0,555107,7560
2025-06-22T16:15:53.637584,422,0,555107,7596
2025-06-22T16:15:55.060444,420,0,555107,7560
2025-06-22T16:15:56.483393,419,0,555107,7542
2025-06-22T16:15:57.906424,418,0,555107,7524
2025-06-22T16:15:59.329534,420,0,555107,7560
2025-06-22T16:16:00.752217,420,0,555107,7560
2025-06-22T16:16:02.175183,420,0,555107,7560
2025-06-22T16:16:03.598018,420,0,555107,7560
2025-06-22T16:16:05.021003,420,0,555107,7560
2025-06-22T16:16:06.443824,418,0,555107,7524
2025-06-22T16:16:07.866826,420,0,555107,7560
2025-06-22T16:16:09.289612,420,0,555107,7560
2025-06-22T16:16:10.712653,420,0,555107,7560
2025-06-22T16:16:12.135511,419,0,555107,7542
2025-06-22T16:16:13.558548,420,0,555107,7560
2025-06-22T16:16:14.981376,419,0,555107,7542
2025-06-22T16:16:16.404358,421,0,555107,7578
2025-06-22T16:16:17.827191,420,0,555107,7560
2025-06-22T16:16:19.250035,420,0,555107,7560
2025-06-22T16:16:20.673049,420,0,555107,7560
2025-06-22T16:16:22.096003,423,0,555107,7614
2025-06-22T16:16:23.518996,419,0,555107,7542
2025-06-22T16:16:24.941891,421,0,555107,7578
2025-06-22T16:16:26.364775,420,0,555107,7560
2025-06-22T16:16:27.787647,421,0,555107,7578
2025-06-22T16:16:29.210608,419,0,555107,7542
2025-06-22T16:16:30.633478,422,0,555107,7596
2025-06-22T16:16:32.056467,420,0,555107,7560
2025-06-22T16:16:33.479314,421,0,555107,7578
2025-06-22T16:16:34.902297,420,0,555107,7560
2025-06-22T16:16:36.325156,421,0,555107,7578
2025-06-22T16:16:37.748173,420,0,555107,7560
2025-06-22T16:16:39.171136,420,0,555107,7560
2025-06-22T16:16:40.593911,420,0,555107,7560
2025-06-22T16:16:42.016947,421,0,555107,7578
2025-06-22T16:16:43.439808,419,0,555107,7542
2025-06-22T16:16:44.862778,420,0,555107,7560
2025-06-22T16:16:46.285768,417,0,555107,7506
2025-06-22T16:16:47.708596,420,0,555107,7560
2025-06-22T16:16:49.131461,418,0,555107,7524
2025-06-22T16:16:50.554461,420,0,555107,7560
2025-06-22T16:16:51.977292,419,0,555107,7542
2025-06-22T16:16:53.400241,418,0,555107,7524
2025-06-22T16:16:54.823111,419,0,555107,7542
2025-06-22T16:16:56.246220,420,0,555107,7560
2025-06-22T16:16:57.668963,419,0,555107,7542
2025-06-22T16:16:59.091823,420,0,555107,7560
2025-06-22T16:17:00.514935,419,0,555107,7542
2025-06-22T16:17:01.937851,419,0,555107,7542
2025-06-22T16:17:03.360743,420,0,555107,7560
2025-06-22T16:17:04.783702,418,0,555107,7524
2025-06-22T16:17:06.206427,418,0,555107,7524
2025-06-22T16:17:07.629328,420,0,555107,7560
2025-06-22T16:17:09.052371,420,0,555107,7560
2025-06-22T16:17:10.475359,420,0,555107,7560
2025-06-22T16:17:11.898289,419,0,555107,7542
2025-06-22T16:17:13.321121,422,0,555107,7596
2025-06-22T16:17:14.744076,418,0,555107,7524
2025-06-22T16:17:16.166984,420,0,555107,7560
2025-06-22T16:17:17.589946,418,0,555107,7524
2025-06-22T16:17:19.012877,420,0,555107,7560
2025-06-22T16:17:20.435733,419,0,555107,7542
2025-06-22T16:17:21.858674,422,0,555107,7596
2025-06-22T16:17:23.281535,418,0,555107,7524
2025-06-22T16:17:24.704470,420,0,555107,7560
2025-06-22T16:17:26.127361,419,0,555107,7542
2025-06-22T16:17:27.550411,420,0,555107,7560
2025-06-22T16:17:28.973212,420,0,555107,7560
2025-06-22T16:17:30.396253,420,0,555107,7560
2025-06-22T16:17:31.819120,418,0,555107,7524
2025-06-22T16:17:33.242087,421,0,555107,7578
2025-06-22T16:17:34.665097,419,0,555107,7542
2025-06-22T16:17:36.087837,420,0,555107,7560
2025-06-22T16:17:37.510834,420,0,555107,7560
2025-06-22T16:17:38.933740,419,0,555107,7542
2025-06-22T16:17:40.356689,419,0,555107,7542
2025-06-22T16:17:41.779890,420,0,555107,7560
2025-06-22T16:17:43.202560,418,0,555107,7524
2025-06-22T16:17:44.625264,419,0,555107,7542
2025-06-22T16:17:46.048436,418,0,555107,7524
2025-06-22T16:17:47.471099,420,0,555107,7560
2025-06-22T16:17:48.894049,420,0,555107,7560
2025-06-22T16:17:50.316956,421,0,555107,7578
2025-06-22T16:17:51.739985,420,0,555107,7560
2025-06-22T16:17:53.162907,419,0,555107,7542
2025-06-22T16:17:54.585817,420,0,555107,7560
2025-06-22T16:17:56.008823,421,0,555107,7578
2025-06-22T16:17:57.431735,419,0,555107,7542
2025-06-22T16:17:58.854504,420,0,555107,7560
2025-06-22T16:18:00.277511,420,0,555107,7560
2025-06-22T16:18:01.700601,420,0,555107,7560
2025-06-22T16:18:03.123305,420,0,555107,7560
2025-06-22T16:18:04.546288,419,0,555107,7542
2025-06-22T16:18:05.969148,419,0,555107,7542
2025-06-22T16:18:07.392136,419,0,555107,7542
2025-06-22T16:18:08.814860,419,0,555107,7542
2025-06-22T16:18:10.237985,419,0,555107,7542
2025-06-22T16:18:11.661138,420,0,555107,7560
2025-06-22T16:18:13.083772,422,0,555107,7596
2025-06-22T16:18:14.506710,420,0,555107,7560
2025-06-22T16:18:15.929631,418,0,555107,7524
2025-06-22T16:18:17.352638,419,0,555107,7542
2025-06-22T16:18:18.775377,420,0,555107,7560
2025-06-22T16:18:20.198454,419,0,555107,7542
2025-06-22T16:18:21.621232,420,0,555107,7560
2025-06-22T16:18:23.044260,418,0,555107,7524
2025-06-22T16:18:24.467123,419,0,555107,7542
2025-06-22T16:18:25.890074,421,0,555107,7578
2025-06-22T16:18:27.312911,420,0,555107,7560
2025-06-22T16:18:28.735985,420,0,555107,7560
2025-06-22T16:18:30.158807,418,0,555107,7524
2025-06-22T16:18:31.581750,418,0,555107,7524
2025-06-22T16:18:33.004603,419,0,555107,7542
2025-06-22T16:18:34.427537,419,0,555107,7542
2025-06-22T16:18:35.850669,421,0,555107,7578
2025-06-22T16:18:37.273410,419,0,555107,7542
2025-06-22T16:18:38.696358,420,0,555107,7560
2025-06-22T16:18:40.119274,420,0,555107,7560
2025-06-22T16:18:41.542105,420,0,555107,7560
2025-06-22T16:18:42.965072,419,0,555107,7542
2025-06-22T16:18:44.388118,420,0,555107,7560
2025-06-22T16:18:45.811009,418,0,555107,7524
2025-06-22T16:18:47.233947,420,0,555107,7560
2025-06-22T16:18:48.656726,420,0,555107,7560
2025-06-22T16:18:50.079747,419,0,555107,7542
2025-06-22T16:18:51.502681,420,0,555107,7560
2025-06-22T16:18:52.925552,418,0,555107,7524
2025-06-22T16:18:54.348531,420,0,555107,7560
2025-06-22T16:18:55.771361,419,0,555107,7542
2025-06-22T16:18:57.194329,420,0,555107,7560
2025-06-22T16:18:58.617268,420,0,555107,7560
2025-06-22T16:19:00.040066,419,0,555107,7542
2025-06-22T16:19:01.463068,420,0,555107,7560
2025-06-22T16:19:02.886064,419,0,555107,7542
2025-06-22T16:19:04.308901,421,0,555107,7578
2025-06-22T16:19:05.731885,420,0,555107,7560
2025-06-22T16:19:07.154785,419,0,555107,7542
2025-06-22T16:19:08.577685,418,0,555107,7524
2025-06-22T16:19:10.000681,419,0,555107,7542
2025-06-22T16:19:11.423434,418,0,555107,7524
2025-06-22T16:19:12.846368,420,0,555107,7560
2025-06-22T16:19:14.269342,420,0,555107,7560
2025-06-22T16:19:15.692442,420,0,555107,7560
2025-06-22T16:19:17.115213,420,0,555107,7560
2025-06-22T16:19:18.538170,419,0,555107,7542
2025-06-22T16:19:19.960967,420,0,555107,7560
2025-06-22T16:19:21.383970,417,0,555107,7506
2025-06-22T16:19:22.806911,421,0,555107,7578
2025-06-22T16:19:24.229785,419,0,555107,7542
2025-06-22T16:19:25.652714,421,0,555107,7578
2025-06-22T16:19:27.075595,421,0,555107,7578
2025-06-22T16:19:28.498596,417,0,555107,7506
2025-06-22T16:19:29.921529,419,0,555107,7542
2025-06-22T16:19:31.344396,420,0,555107,7560
2025-06-22T16:19:32.767284,420,0,555107,7560
2025-06-22T16:19:34.190346,420,0,555107,7560
2025-06-22T16:19:35.613154,420,0,555107,7560
2025-06-22T16:19:37.036101,420,0,555107,7560
2025-06-22T16:19:38.459430,421,0,555107,7578
2025-06-22T16:19:39.881979,419,0,555107,7542
2025-06-22T16:19:41.304852,418,0,555107,7524
2025-06-22T16:19:42.727768,420,0,555107,7560
2025-06-22T16:19:44.150669,420,0,555107,7560
2025-06-22T16:19:45.573670,419,0,555107,7542
2025-06-22T16:19:46.996593,420,0,555107,7560
2025-06-22T16:19:48.419479,420,0,555107,7560
2025-06-22T16:19:49.842405,420,0,555107,7560
2025-06-22T16:19:51.265246,419,0,555107,7542
2025-06-22T16:19:52.688270,420,0,555107,7560
2025-06-22T16:19:54.111116,419,0,555107,7542
2025-06-22T16:19:55.534000,422,0,555107,7596
2025-06-22T16:19:56.956936,420,0,555107,7560
2025-06-22T16:19:58.379933,422,0,555107,7596
